Node 1			Node 2			P(12)

1367			4669			7.0005600448e-05
178			4954			1.0000800064e-05
1110			2869			1.0000800064e-05
12577			279			5.000400032e-05
3096			37339			1.0000800064e-05
299			4390			1.0000800064e-05
45722			64			1.0000800064e-05
15423			1933			1.0000800064e-05
7053			8845			1.0000800064e-05
50205			6			1.0000800064e-05
1264			21285			1.0000800064e-05
264			43152			1.0000800064e-05
36418			36419			1.0000800064e-05
17749			938			1.0000800064e-05
35404			4182			1.0000800064e-05
237			29752			1.0000800064e-05
36207			785			1.0000800064e-05
2597			9943			1.0000800064e-05
34312			34313			1.0000800064e-05
2879			4592			0.00010000800064
18149			2710			2.0001600128e-05
2280			36198			1.0000800064e-05
22411			22412			1.0000800064e-05
5703			7018			1.0000800064e-05
30883			4157			1.0000800064e-05
17731			4668			1.0000800064e-05
11651			2848			1.0000800064e-05
4912			5975			1.0000800064e-05
5837			6787			1.0000800064e-05
18655			18657			1.0000800064e-05
1450			4771			2.0001600128e-05
14685			1842			1.0000800064e-05
2429			2574			1.0000800064e-05
23078			23080			1.0000800064e-05
2290			4592			1.0000800064e-05
11140			442			1.0000800064e-05
1141			30333			1.0000800064e-05
44324			44326			1.0000800064e-05
25695			25697			1.0000800064e-05
1978			46836			1.0000800064e-05
2699			40313			1.0000800064e-05
38404			45921			1.0000800064e-05
14326			49319			1.0000800064e-05
21696			38920			1.0000800064e-05
2655			50085			1.0000800064e-05
1678			38824			1.0000800064e-05
1336			27723			1.0000800064e-05
30829			30831			1.0000800064e-05
21970			3201			1.0000800064e-05
35491			4185			1.0000800064e-05
46112			9143			1.0000800064e-05
2197			36595			1.0000800064e-05
49825			49826			1.0000800064e-05
15423			770			1.0000800064e-05
16924			837			2.0001600128e-05
1472			6289			1.0000800064e-05
6708			9155			1.0000800064e-05
19749			9283			1.0000800064e-05
22362			22363			1.0000800064e-05
1978			5480			1.0000800064e-05
23306			26352			1.0000800064e-05
715			7409			4.0003200256e-05
23932			23934			1.0000800064e-05
90			9318			1.0000800064e-05
27			751			1.0000800064e-05
18298			7091			1.0000800064e-05
47036			47038			1.0000800064e-05
3063			9343			2.0001600128e-05
3703			7593			1.0000800064e-05
28624			29718			1.0000800064e-05
13523			3737			1.0000800064e-05
12805			3646			1.0000800064e-05
16744			30639			1.0000800064e-05
310			6020			1.0000800064e-05
253			5768			2.0001600128e-05
31200			7752			2.0001600128e-05
1633			4895			1.0000800064e-05
23536			23538			1.0000800064e-05
381			54			0.000320025602048
16821			202			1.0000800064e-05
7525			9396			1.0000800064e-05
18497			750			1.0000800064e-05
7536			8432			1.0000800064e-05
2155			31243			1.0000800064e-05
5604			763			4.0003200256e-05
11618			1355			1.0000800064e-05
41293			41294			1.0000800064e-05
1208			6922			2.0001600128e-05
1026			832			1.0000800064e-05
26640			26641			1.0000800064e-05
1668			38447			1.0000800064e-05
1707			32488			2.0001600128e-05
36421			36422			1.0000800064e-05
15570			15571			1.0000800064e-05
10110			3864			1.0000800064e-05
3486			881			3.0002400192e-05
2030			31376			1.0000800064e-05
296			6612			1.0000800064e-05
12168			6357			1.0000800064e-05
1712			29539			1.0000800064e-05
1472			3549			1.0000800064e-05
16702			9733			1.0000800064e-05
37785			37786			1.0000800064e-05
2887			35288			1.0000800064e-05
20839			406			1.0000800064e-05
3582			3583			0.00015001200096
8793			926			1.0000800064e-05
24174			8941			1.0000800064e-05
23105			33836			1.0000800064e-05
217			721			6.0004800384e-05
36261			36262			1.0000800064e-05
39576			42578			1.0000800064e-05
1116			1237			1.0000800064e-05
40447			40448			1.0000800064e-05
40952			6632			1.0000800064e-05
2286			3198			2.0001600128e-05
10758			2651			1.0000800064e-05
41952			41954			1.0000800064e-05
49291			49292			1.0000800064e-05
42224			42226			1.0000800064e-05
198			5889			0.00010000800064
4604			6351			1.0000800064e-05
323			40043			1.0000800064e-05
1458			44839			1.0000800064e-05
47728			47729			1.0000800064e-05
215			2239			1.0000800064e-05
1621			3789			1.0000800064e-05
170			19967			1.0000800064e-05
16750			955			1.0000800064e-05
5499			6467			1.0000800064e-05
28405			28406			1.0000800064e-05
1153			17416			1.0000800064e-05
34271			96			1.0000800064e-05
308			5331			1.0000800064e-05
3562			5564			1.0000800064e-05
1019			7389			1.0000800064e-05
27594			27595			1.0000800064e-05
819			9609			1.0000800064e-05
616			9854			1.0000800064e-05
5366			6236			1.0000800064e-05
1017			46706			1.0000800064e-05
25485			25487			1.0000800064e-05
27529			30119			1.0000800064e-05
2372			5995			1.0000800064e-05
33152			33154			1.0000800064e-05
1211			6022			1.0000800064e-05
317			6832			1.0000800064e-05
1886			38234			1.0000800064e-05
688			736			2.0001600128e-05
38375			48892			1.0000800064e-05
286			6718			1.0000800064e-05
16222			762			1.0000800064e-05
21083			45717			1.0000800064e-05
1244			45527			1.0000800064e-05
14839			19590			2.0001600128e-05
34266			42802			1.0000800064e-05
6297			9268			1.0000800064e-05
36751			36753			1.0000800064e-05
11038			46103			1.0000800064e-05
16068			16069			1.0000800064e-05
284			968			6.0004800384e-05
30621			7070			1.0000800064e-05
251			508			3.0002400192e-05
1568			6729			1.0000800064e-05
1514			3528			1.0000800064e-05
19900			2835			1.0000800064e-05
20393			2611			1.0000800064e-05
1472			17479			1.0000800064e-05
4295			6335			1.0000800064e-05
50094			50095			1.0000800064e-05
2250			677			8.0006400512e-05
49790			49791			1.0000800064e-05
133			32379			1.0000800064e-05
11235			1976			1.0000800064e-05
26209			4541			1.0000800064e-05
185			23526			1.0000800064e-05
2976			5363			1.0000800064e-05
1318			23952			1.0000800064e-05
3290			3854			1.0000800064e-05
43944			43945			1.0000800064e-05
44249			44250			1.0000800064e-05
23112			88			1.0000800064e-05
36406			36407			1.0000800064e-05
42708			42710			1.0000800064e-05
16336			826			1.0000800064e-05
18909			212			1.0000800064e-05
1111			746			1.0000800064e-05
38054			38055			1.0000800064e-05
11344			158			1.0000800064e-05
46479			46481			1.0000800064e-05
37728			869			1.0000800064e-05
3821			4053			1.0000800064e-05
2010			3581			1.0000800064e-05
1611			5166			1.0000800064e-05
1177			21729			1.0000800064e-05
8471			869			1.0000800064e-05
18710			43547			1.0000800064e-05
2650			841			2.0001600128e-05
4654			710			2.0001600128e-05
20891			881			1.0000800064e-05
47511			47513			1.0000800064e-05
106			17964			1.0000800064e-05
18569			559			1.0000800064e-05
20452			22154			1.0000800064e-05
16847			2454			1.0000800064e-05
32440			5743			1.0000800064e-05
120			48916			1.0000800064e-05
183			245			7.0005600448e-05
2866			6008			1.0000800064e-05
3150			5845			1.0000800064e-05
10026			2537			4.0003200256e-05
2838			6892			2.0001600128e-05
3477			6238			3.0002400192e-05
3587			8725			1.0000800064e-05
4569			8713			2.0001600128e-05
40267			41289			1.0000800064e-05
4536			7265			1.0000800064e-05
22356			22357			1.0000800064e-05
41807			41809			1.0000800064e-05
16791			3454			1.0000800064e-05
2253			267			2.0001600128e-05
1475			2016			4.0003200256e-05
29188			5088			1.0000800064e-05
20982			6659			1.0000800064e-05
16188			647			1.0000800064e-05
3717			5861			1.0000800064e-05
3244			44560			1.0000800064e-05
21583			35226			1.0000800064e-05
38008			741			1.0000800064e-05
24655			886			2.0001600128e-05
31235			31236			1.0000800064e-05
10823			3635			1.0000800064e-05
26676			4562			1.0000800064e-05
6976			877			1.0000800064e-05
20657			65			1.0000800064e-05
1196			14533			1.0000800064e-05
2841			6759			2.0001600128e-05
682			7603			1.0000800064e-05
11240			1298			2.0001600128e-05
3120			3611			1.0000800064e-05
1616			26328			2.0001600128e-05
1092			1960			1.0000800064e-05
17254			2884			1.0000800064e-05
16667			563			1.0000800064e-05
114			6731			1.0000800064e-05
2516			8896			1.0000800064e-05
1160			5533			1.0000800064e-05
15312			7106			2.0001600128e-05
1410			16917			1.0000800064e-05
105			9056			6.0004800384e-05
49977			49979			1.0000800064e-05
3251			893			2.0001600128e-05
3548			48390			1.0000800064e-05
178			3920			1.0000800064e-05
11175			36313			1.0000800064e-05
35235			94			2.0001600128e-05
11635			49580			1.0000800064e-05
36354			45363			1.0000800064e-05
15363			4139			1.0000800064e-05
18463			41952			1.0000800064e-05
396			7278			1.0000800064e-05
50226			50228			1.0000800064e-05
18303			377			1.0000800064e-05
1286			20612			2.0001600128e-05
18609			475			1.0000800064e-05
1327			47297			1.0000800064e-05
4843			5741			1.0000800064e-05
1683			3637			3.0002400192e-05
30079			30080			1.0000800064e-05
15240			625			1.0000800064e-05
2165			9325			1.0000800064e-05
10257			1739			2.0001600128e-05
521			7227			1.0000800064e-05
41151			6170			1.0000800064e-05
3820			5892			1.0000800064e-05
27784			5666			1.0000800064e-05
10213			17494			1.0000800064e-05
17998			17999			1.0000800064e-05
12815			939			1.0000800064e-05
40918			40920			1.0000800064e-05
6941			9489			1.0000800064e-05
1585			45449			1.0000800064e-05
2531			26347			1.0000800064e-05
5438			7636			1.0000800064e-05
17131			3933			1.0000800064e-05
35181			4591			1.0000800064e-05
1059			29786			1.0000800064e-05
2215			4755			1.0000800064e-05
11432			5755			1.0000800064e-05
25345			2678			1.0000800064e-05
24207			9290			1.0000800064e-05
27291			3510			1.0000800064e-05
2796			3589			1.0000800064e-05
1862			34875			1.0000800064e-05
11251			7255			2.0001600128e-05
49187			49188			1.0000800064e-05
24334			639			3.0002400192e-05
44808			94			1.0000800064e-05
42670			4554			1.0000800064e-05
10406			6690			1.0000800064e-05
2700			3251			0.000140011200896
47814			47815			1.0000800064e-05
24410			268			3.0002400192e-05
32642			7285			1.0000800064e-05
36357			36358			1.0000800064e-05
15400			575			1.0000800064e-05
44413			8493			1.0000800064e-05
2153			7982			1.0000800064e-05
10354			31441			1.0000800064e-05
18489			6379			1.0000800064e-05
41795			7895			1.0000800064e-05
25805			424			1.0000800064e-05
27842			38531			1.0000800064e-05
26748			26749			1.0000800064e-05
245			340			1.0000800064e-05
17824			442			1.0000800064e-05
12166			735			4.0003200256e-05
3217			6418			1.0000800064e-05
19635			19636			1.0000800064e-05
16895			442			2.0001600128e-05
6215			6418			1.0000800064e-05
29263			345			1.0000800064e-05
26902			765			1.0000800064e-05
250			48241			1.0000800064e-05
1095			5017			1.0000800064e-05
19048			677			1.0000800064e-05
1603			5146			3.0002400192e-05
25242			879			1.0000800064e-05
2706			38064			1.0000800064e-05
18168			18169			1.0000800064e-05
2138			3309			1.0000800064e-05
14			1614			1.0000800064e-05
2611			40261			1.0000800064e-05
25415			25417			1.0000800064e-05
19739			571			1.0000800064e-05
24879			9828			1.0000800064e-05
27130			5616			1.0000800064e-05
23111			6458			1.0000800064e-05
1575			9741			1.0000800064e-05
15073			2874			1.0000800064e-05
1044			32501			1.0000800064e-05
1193			22856			7.0005600448e-05
1480			16808			2.0001600128e-05
1118			21485			1.0000800064e-05
2098			4448			1.0000800064e-05
1149			2389			1.0000800064e-05
