Node 1			Node 2			P(12)

3096			37339			1.0000800064e-05
7053			8845			1.0000800064e-05
1264			21285			1.0000800064e-05
36418			36419			1.0000800064e-05
35404			4182			1.0000800064e-05
237			29752			1.0000800064e-05
34312			34313			1.0000800064e-05
18149			2710			2.0001600128e-05
22411			22412			1.0000800064e-05
5703			7018			1.0000800064e-05
30883			4157			1.0000800064e-05
11651			2848			1.0000800064e-05
18655			18657			1.0000800064e-05
23078			23080			1.0000800064e-05
1141			30333			1.0000800064e-05
44324			44326			1.0000800064e-05
25695			25697			1.0000800064e-05
38404			45921			1.0000800064e-05
14326			49319			1.0000800064e-05
21696			38920			1.0000800064e-05
1678			38824			1.0000800064e-05
1336			27723			1.0000800064e-05
30829			30831			1.0000800064e-05
21970			3201			1.0000800064e-05
35491			4185			1.0000800064e-05
46112			9143			1.0000800064e-05
49825			49826			1.0000800064e-05
22362			22363			1.0000800064e-05
23306			26352			1.0000800064e-05
23932			23934			1.0000800064e-05
18298			7091			1.0000800064e-05
47036			47038			1.0000800064e-05
28624			29718			1.0000800064e-05
13523			3737			1.0000800064e-05
16744			30639			1.0000800064e-05
31200			7752			2.0001600128e-05
23536			23538			1.0000800064e-05
7525			9396			1.0000800064e-05
41293			41294			1.0000800064e-05
26640			26641			1.0000800064e-05
1707			32488			2.0001600128e-05
36421			36422			1.0000800064e-05
15570			15571			1.0000800064e-05
37785			37786			1.0000800064e-05
2887			35288			1.0000800064e-05
3582			3583			0.00015001200096
8793			926			1.0000800064e-05
24174			8941			1.0000800064e-05
23105			33836			1.0000800064e-05
36261			36262			1.0000800064e-05
39576			42578			1.0000800064e-05
40447			40448			1.0000800064e-05
40952			6632			1.0000800064e-05
41952			41954			1.0000800064e-05
49291			49292			1.0000800064e-05
42224			42226			1.0000800064e-05
1458			44839			1.0000800064e-05
47728			47729			1.0000800064e-05
28405			28406			1.0000800064e-05
27594			27595			1.0000800064e-05
1017			46706			1.0000800064e-05
25485			25487			1.0000800064e-05
27529			30119			1.0000800064e-05
33152			33154			1.0000800064e-05
38375			48892			1.0000800064e-05
21083			45717			1.0000800064e-05
14839			19590			2.0001600128e-05
34266			42802			1.0000800064e-05
6297			9268			1.0000800064e-05
36751			36753			1.0000800064e-05
11038			46103			1.0000800064e-05
16068			16069			1.0000800064e-05
30621			7070			1.0000800064e-05
50094			50095			1.0000800064e-05
49790			49791			1.0000800064e-05
43944			43945			1.0000800064e-05
44249			44250			1.0000800064e-05
36406			36407			1.0000800064e-05
42708			42710			1.0000800064e-05
38054			38055			1.0000800064e-05
46479			46481			1.0000800064e-05
18710			43547			1.0000800064e-05
47511			47513			1.0000800064e-05
20452			22154			1.0000800064e-05
40267			41289			1.0000800064e-05
22356			22357			1.0000800064e-05
41807			41809			1.0000800064e-05
2253			267			2.0001600128e-05
29188			5088			1.0000800064e-05
20982			6659			1.0000800064e-05
3244			44560			1.0000800064e-05
21583			35226			1.0000800064e-05
24655			886			2.0001600128e-05
31235			31236			1.0000800064e-05
17254			2884			1.0000800064e-05
16667			563			1.0000800064e-05
15312			7106			2.0001600128e-05
49977			49979			1.0000800064e-05
3548			48390			1.0000800064e-05
178			3920			1.0000800064e-05
11175			36313			1.0000800064e-05
11635			49580			1.0000800064e-05
36354			45363			1.0000800064e-05
18463			41952			1.0000800064e-05
50226			50228			1.0000800064e-05
1327			47297			1.0000800064e-05
30079			30080			1.0000800064e-05
41151			6170			1.0000800064e-05
27784			5666			1.0000800064e-05
10213			17494			1.0000800064e-05
17998			17999			1.0000800064e-05
40918			40920			1.0000800064e-05
17131			3933			1.0000800064e-05
35181			4591			1.0000800064e-05
11432			5755			1.0000800064e-05
25345			2678			1.0000800064e-05
24207			9290			1.0000800064e-05
1862			34875			1.0000800064e-05
11251			7255			2.0001600128e-05
49187			49188			1.0000800064e-05
24334			639			3.0002400192e-05
47814			47815			1.0000800064e-05
36357			36358			1.0000800064e-05
44413			8493			1.0000800064e-05
10354			31441			1.0000800064e-05
18489			6379			1.0000800064e-05
41795			7895			1.0000800064e-05
27842			38531			1.0000800064e-05
26748			26749			1.0000800064e-05
19635			19636			1.0000800064e-05
29263			345			1.0000800064e-05
26902			765			1.0000800064e-05
18168			18169			1.0000800064e-05
25415			25417			1.0000800064e-05
24879			9828			1.0000800064e-05
27130			5616			1.0000800064e-05
23111			6458			1.0000800064e-05
1193			22856			7.0005600448e-05
1480			16808			2.0001600128e-05
14081			3345			1.0000800064e-05
42042			42044			1.0000800064e-05
31142			31144			1.0000800064e-05
41553			41554			1.0000800064e-05
33352			33353			1.0000800064e-05
10541			32637			1.0000800064e-05
43011			5652			1.0000800064e-05
33960			33961			2.0001600128e-05
21338			3196			1.0000800064e-05
24672			24673			1.0000800064e-05
2592			7998			2.0001600128e-05
20668			25815			1.0000800064e-05
23458			7380			1.0000800064e-05
42144			43067			1.0000800064e-05
27853			33430			1.0000800064e-05
30339			30340			1.0000800064e-05
14751			27184			1.0000800064e-05
44148			44149			1.0000800064e-05
27292			3510			1.0000800064e-05
28743			28744			1.0000800064e-05
22916			22917			1.0000800064e-05
23686			23687			1.0000800064e-05
1842			35701			1.0000800064e-05
34054			44259			1.0000800064e-05
11456			29419			1.0000800064e-05
13710			5183			1.0000800064e-05
22739			29410			1.0000800064e-05
40674			40676			1.0000800064e-05
35408			46720			1.0000800064e-05
17240			17241			1.0000800064e-05
44810			44811			1.0000800064e-05
24632			333			1.0000800064e-05
12761			7056			1.0000800064e-05
2515			25950			1.0000800064e-05
45387			45388			1.0000800064e-05
40127			5068			1.0000800064e-05
28800			8484			1.0000800064e-05
18212			3125			1.0000800064e-05
35149			5848			1.0000800064e-05
49626			770			1.0000800064e-05
20037			3381			1.0000800064e-05
10724			24479			1.0000800064e-05
4113			49416			1.0000800064e-05
45511			45512			1.0000800064e-05
22710			22712			1.0000800064e-05
44225			44226			1.0000800064e-05
10529			755			1.0000800064e-05
33480			33482			1.0000800064e-05
44776			8622			1.0000800064e-05
42421			42422			1.0000800064e-05
16654			16770			2.0001600128e-05
16542			38765			1.0000800064e-05
22502			8996			1.0000800064e-05
12509			33022			1.0000800064e-05
4299			50271			1.0000800064e-05
38804			47210			1.0000800064e-05
30990			30991			1.0000800064e-05
12273			16383			1.0000800064e-05
26195			26197			1.0000800064e-05
18770			31958			1.0000800064e-05
17975			17976			2.0001600128e-05
12028			23973			1.0000800064e-05
22339			29709			1.0000800064e-05
33658			9389			1.0000800064e-05
49363			49364			1.0000800064e-05
43513			47007			1.0000800064e-05
2371			29810			1.0000800064e-05
40302			7730			1.0000800064e-05
41961			41962			1.0000800064e-05
16391			470			1.0000800064e-05
1546			31347			1.0000800064e-05
27931			27932			1.0000800064e-05
2657			27129			1.0000800064e-05
32762			43906			1.0000800064e-05
25264			25265			1.0000800064e-05
20541			20542			1.0000800064e-05
25588			6814			1.0000800064e-05
48820			48821			1.0000800064e-05
45126			45128			1.0000800064e-05
43533			43535			1.0000800064e-05
1465			46911			1.0000800064e-05
35903			35904			1.0000800064e-05
18780			33845			1.0000800064e-05
24635			648			1.0000800064e-05
16496			3069			3.0002400192e-05
10773			19436			2.0001600128e-05
41933			41934			1.0000800064e-05
3617			50341			1.0000800064e-05
30661			30662			1.0000800064e-05
646			647			5.000400032e-05
30215			30216			1.0000800064e-05
12057			6400			2.0001600128e-05
1598			22220			1.0000800064e-05
46879			46880			1.0000800064e-05
17197			7244			1.0000800064e-05
1282			44889			1.0000800064e-05
16283			16285			1.0000800064e-05
45147			45149			1.0000800064e-05
1785			24763			1.0000800064e-05
31729			31730			1.0000800064e-05
27944			27945			1.0000800064e-05
24332			24333			1.0000800064e-05
33884			3479			2.0001600128e-05
16159			18948			1.0000800064e-05
22827			22828			1.0000800064e-05
17608			3510			1.0000800064e-05
2692			32058			1.0000800064e-05
48505			48506			1.0000800064e-05
48490			48491			1.0000800064e-05
